update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
84,mutant-only,0.183121224,262.1608392,48.00699301,144,0.362080994,262.1729323,94.92481203,137,0.183183889,262.0322581,48,130
85,mutant-only,0.183121224,262.1608392,48.00699301,144,0.362080994,262.1729323,94.92481203,137,0.183183889,262.0322581,48,130
86,mutant-only,0.183122969,262.1575342,48.00684932,147,0.362175576,262.1481481,94.94074074,139,0.183184414,262.0314961,48,133
87,mutant-only,0.183136049,262.1744966,48.01342282,149,0.361147104,262.1056338,94.65492958,146,0.183179959,262.0378788,48,138
88,mutant-only,0.183150878,262.1835443,48.01898734,158,0.362423695,262.3506494,95.07142857,159,0.183181628,262.035461,48,147
89,mutant-only,0.18303655,262.3563218,48.01724138,174,0.361554371,262.3454545,94.84242424,170,0.183153263,262.0397351,47.99337748,160
90,mutant-only,0.183058555,262.3172043,48.01612903,186,0.360704978,262.3372093,94.61627907,177,0.183073443,262.0559006,47.97515528,167
91,mutant-only,0.183033605,262.3529412,48.01604278,187,0.360770578,262.3333333,94.63218391,179,0.18307507,262.0552147,47.97546012,168
92,mutant-only,0.183036328,262.3473684,48.01578947,190,0.360770578,262.3333333,94.63218391,179,0.18307507,262.0552147,47.97546012,168
93,mutant-only,0.183036328,262.3473684,48.01578947,190,0.360770578,262.3333333,94.63218391,179,0.18307507,262.0552147,47.97546012,168
94,mutant-only,0.183036328,262.3473684,48.01578947,190,0.360763607,262.36,94.64,179,0.183076659,262.0545455,47.97575758,170
95,mutant-only,0.183046949,262.359375,48.02083333,192,0.359897117,262.3296089,94.40223464,183,0.183079723,262.0532544,47.97633136,174
96,mutant-only,0.183049397,262.3538462,48.02051282,195,0.360249259,262.3068783,94.48677249,194,0.183086702,262.0462428,47.97687861,177
97,mutant-only,0.18310449,262.3661972,48.03755869,213,0.361450556,262.285,94.795,206,0.18308653,262.0855615,47.98395722,192
98,mutant-only,0.183136859,262.3587444,48.04484305,224,0.362586233,262.3018868,95.0990566,219,0.182972914,262.245098,47.98039216,208
99,mutant-only,0.183083732,262.4632035,48.04761905,232,0.362475518,262.4516129,95.11981567,222,0.182946079,262.2596154,47.97596154,213
100,mutant-only,0.183062368,262.4893617,48.04680851,237,0.362500909,262.4331797,95.11981567,222,0.182947323,262.2583732,47.97607656,214
101,mutant-only,0.183039718,262.5211864,48.04661017,238,0.362518851,262.4311927,95.12385321,223,0.182947323,262.2583732,47.97607656,214
102,mutant-only,0.18304042,262.5189873,48.0464135,239,0.362536629,262.4292237,95.12785388,224,0.182947323,262.2583732,47.97607656,214
103,mutant-only,0.183048257,262.5294118,48.05042017,240,0.363383346,262.4459459,95.35585586,227,0.182968989,262.254717,47.98113208,217
104,mutant-only,0.183055011,262.5371901,48.05371901,245,0.362551907,262.4529148,95.13901345,229,0.182972298,262.2511628,47.98139535,220
105,mutant-only,0.183009548,262.4047619,48.01984127,255,0.36232763,262.2962963,95.02880658,249,0.182961309,262.2443439,47.97737557,226
106,mutant-only,0.18314315,262.3740458,48.04961832,265,0.362335257,262.3632813,95.0546875,263,0.182946502,262.2467532,47.97402597,238
