update,condition,minimal_avg-fitness,minimal_avg-offspring-cost,minimal_avg-energy-acq-rate,minimal_pop-size,selective_avg-fitness,selective_avg-offspring-cost,selective_avg-energy-acq-rate,selective_pop-size,rich_avg-fitness,rich_avg-offspring-cost,rich_avg-energy-acq-rate,rich_pop-size
260,competion,0.356718632,132.6708571,47.05371429,900,0.328753851,169.3029613,52.82004556,900,0.355928799,133.5369738,46.97155859,900
261,competion,0.356934007,132.4742857,47.04571429,900,0.329292343,169.0926773,52.85469108,900,0.355951829,133.5051429,46.96457143,900
262,competion,0.356910299,132.4822857,47.04571429,900,0.328136336,169.0319635,52.62442922,900,0.356038914,133.3988571,46.96,900
263,competion,0.356854636,132.5496009,47.05587229,900,0.329354035,168.6887115,52.82554162,900,0.355696365,133.8950969,46.96807298,900
264,competion,0.357444682,132.1767389,47.0604333,900,0.329363227,168.4368601,52.70989761,900,0.35562548,133.9169511,46.96814562,900
265,competion,0.357295242,132.2063854,47.04903079,900,0.329784218,168.8882554,52.99201824,899,0.355612261,133.9419134,46.97266515,900
266,competion,0.357127159,132.5572082,47.05034325,900,0.328859894,168.9702517,52.78832952,898,0.35566158,133.8331429,46.97028571,900
267,competion,0.357355251,132.3291429,47.04685714,900,0.328794007,169.2576967,52.87913341,899,0.356034401,133.7113402,46.97709049,900
268,competion,0.357726798,132.1798396,47.06185567,900,0.32790103,169.2839225,52.64994299,900,0.356193161,133.6258581,46.98398169,900
269,competion,0.357420488,132.384,47.06628571,900,0.328268571,168.4880817,52.45856981,900,0.356146031,133.6828143,46.98961938,900
270,competion,0.357307802,132.3915525,47.05136986,900,0.327556374,168.3223235,52.21070615,900,0.356024117,133.8956422,46.96330275,900
271,competion,0.356399071,133.1046644,47.04209329,900,0.327817193,168.1766055,52.22477064,900,0.356337215,133.6880734,46.97362385,900
272,competion,0.356763309,132.8806818,47.04204545,900,0.328121476,168.6681922,52.50457666,900,0.356384924,133.6781609,46.98735632,900
273,competion,0.356804331,132.9670829,47.06242906,900,0.329164296,168.8854525,52.78579611,900,0.356705551,133.559633,47.00344037,900
274,competion,0.356944951,132.5592255,47.0501139,900,0.329741041,169.0538373,52.99198167,900,0.356753182,133.3873563,47.01609195,900
275,competion,0.357285401,132.3219568,47.04095563,900,0.329209992,169.1940976,52.94211124,900,0.356247365,133.6052934,46.9976985,900
276,competion,0.357357415,131.9840728,47.03754266,900,0.328454407,168.9249147,52.74061433,900,0.356273403,133.6570771,47.00690449,900
277,competion,0.357376206,131.9783599,47.04441913,900,0.326947695,169.5295455,52.57386364,900,0.356119422,133.7647059,47.01614764,900
278,competion,0.357479091,131.9118993,47.03546911,900,0.32721342,169.3890785,52.62684869,900,0.356165121,133.7597701,47.02758621,900
279,competion,0.357246627,132.1915138,47.03784404,900,0.327192256,168.922815,52.43359818,900,0.356627386,133.2778416,47.03903559,900
280,competion,0.357028896,132.2683486,47.02752294,900,0.328484453,167.7577143,52.35085714,900,0.356325298,133.4349827,47.04833142,900
281,competion,0.35657836,132.6275862,47.03793103,900,0.328728479,167.7899543,52.46803653,900,0.356317915,133.4048443,47.04036909,900
282,competion,0.355826672,133.1076747,47.04009164,900,0.329594628,167.640411,52.61872146,900,0.356524107,133.3333333,47.04827586,900
283,competion,0.355940378,133.0619266,47.04357798,900,0.330040107,167.0320366,52.52059497,900,0.356112167,133.5678161,47.04712644,900
284,competion,0.356237776,132.9129439,47.03894616,900,0.328961316,166.8473804,52.10364465,900,0.356364718,132.6272936,47.06880734,900
285,competion,0.356316916,132.9117984,47.04581901,900,0.32942314,166.2565267,52.03518729,900,0.3560433,132.7979334,47.05396096,900
