update,condition,minimal_avg.fitness,minimal_avg.offspring.cost,minimal_avg.energy.acq.rate,minimal_pop.size,selective_avg.fitness,selective_avg.offspring.cost,selective_avg.energy.acq.rate,selective_pop.size,rich_avg.fitness,rich_avg.offspring.cost,rich_avg.energy.acq.rate,rich_pop.size
30,wildtype-only,0.358665375,131.0416667,47,48,0.248677249,189,47,16,0.358877192,130.9642857,47,56
31,wildtype-only,0.35863037,131.0545455,47,55,0.248677249,189,47,18,0.35887062,130.9666667,47,62
32,wildtype-only,0.358698115,131.0298507,47,68,0.248677249,189,47,24,0.358902201,130.9552239,47,70
33,wildtype-only,0.358700449,131.0289855,47,70,0.248726239,188.962963,47,28,0.358892044,130.9589041,47,75
34,wildtype-only,0.358701566,131.0285714,47,71,0.248726239,188.962963,47,28,0.358886152,130.961039,47,79
35,wildtype-only,0.358630266,131.0547945,47,75,0.248726239,188.962963,47,28,0.358877192,130.9642857,47,86
36,wildtype-only,0.358766672,130.9418605,46.97674419,88,0.248726239,188.962963,47,28,0.358838622,130.9782609,47,95
37,wildtype-only,0.358715216,130.9361702,46.96808511,96,0.248726239,188.962963,47,28,0.358863111,130.9693878,47,101
38,wildtype-only,0.358768353,130.9479167,46.97916667,98,0.248715042,188.9714286,47,36,0.357742278,131.5686275,47,104
39,wildtype-only,0.358818131,130.9591837,46.98979592,100,0.248740237,188.952381,47,43,0.357808833,131.5321101,47,112
40,wildtype-only,0.358876818,130.8928571,46.97321429,116,0.248767436,188.9318182,47,45,0.357833343,131.4871795,46.99145299,120
41,wildtype-only,0.357803563,131.45,46.975,124,0.248767436,188.9318182,47,45,0.358865198,130.96875,47,132
42,wildtype-only,0.357749798,131.4206349,46.96031746,130,0.248767436,188.9318182,47,45,0.358804299,130.969697,46.99242424,136
43,wildtype-only,0.357736497,131.4251969,46.96062992,131,0.248767436,188.9318182,47,45,0.358819831,130.9854015,47,143
44,wildtype-only,0.357952698,131.384058,46.97826087,140,0.248758233,188.9387755,47,51,0.358798538,130.9931973,47,153
45,wildtype-only,0.358008591,131.3548387,46.98064516,158,0.248001402,189.7377049,47.01639344,63,0.358649728,130.9935897,46.98076923,163
46,wildtype-only,0.358809011,130.9573171,46.98780488,167,0.248121153,189.6268657,47.01492537,69,0.358613397,130.9940476,46.97619048,174
47,wildtype-only,0.35879219,130.9640719,46.98802395,170,0.248121153,189.6268657,47.01492537,69,0.35859182,130.9885714,46.97142857,180
