Rider,Team,Times,Gap,Year,Distance (km),Number of stages,TotalSeconds,GapSeconds
MARCEL ILPIDE,TOURISTES-ROUTIERS,187h 22' 34'',+ 15h 10' 18'',1930,4822,21,674554,54618
ANTONIN MAGNE,FRANCE,177h 10' 03'',-,1931,5091,24,637803,0
JEF DEMUYSERE,BELGIQUE,177h 22' 59'',+ 00h 12' 56'',1931,5091,24,638579,776
ANTONIO PESENTI,ITALIE,177h 32' 54'',+ 00h 22' 51'',1931,5091,24,639174,1371
GASTON REBRY,BELGIQUE,177h 56' 43'',+ 00h 46' 40'',1931,5091,24,640603,2800
MAURICE DE WAELE,BELGIQUE,177h 59' 49'',+ 00h 49' 46'',1931,5091,24,640789,2986
JULIEN VERVAECKE,BELGIQUE,178h 20' 14'',+ 01h 10' 11'',1931,5091,24,642014,4211
LOUIS PEGLION,FRANCE,178h 26' 36'',+ 01h 16' 33'',1931,5091,24,642396,4593
ERICH METZE,ALLEMAGNE,178h 31' 02'',+ 01h 20' 59'',1931,5091,24,642662,4859
ALBERT BÜCHI,AUSTRALIE/SUISSE,178h 39' 32'',+ 01h 29' 29'',1931,5091,24,643172,5369
ANDRÉ LEDUCQ,FRANCE,178h 40' 11'',+ 01h 30' 08'',1931,5091,24,643211,5408
OSKAR THIERBACH,ALLEMAGNE,178h 44' 06'',+ 01h 34' 03'',1931,5091,24,643446,5643
HUBERT OPPERMAN,AUSTRALIE/SUISSE,178h 46' 46'',+ 01h 36' 43'',1931,5091,24,643606,5803
BENOÎT FAURE,FRANCE,178h 50' 41'',+ 01h 40' 38'',1931,5091,24,643841,6038
CHARLES PELISSIER,FRANCE,178h 55' 14'',+ 01h 45' 11'',1931,5091,24,644114,6311
MAX BULLA,INCONNUE,179h 01' 35'',+ 01h 51' 32'',1931,5091,24,644495,6692
KURT STOEPEL,ALLEMAGNE,179h 16' 01'',+ 02h 05' 58'',1931,5091,24,645361,7558
RAFAËLE DI PACO,ITALIE,179h 21' 14'',+ 02h 11' 11'',1931,5091,24,645674,7871
ALFONS SCHEPERS,BELGIQUE,179h 25' 30'',+ 02h 15' 27'',1931,5091,24,645930,8127
LUDWIG GEYER,ALLEMAGNE,179h 26' 25'',+ 02h 16' 22'',1931,5091,24,645985,8182
HERBERT SIERONSKI,ALLEMAGNE,179h 33' 43'',+ 02h 23' 40'',1931,5091,24,646423,8620
ROGER PIPOZ,AUSTRALIE/SUISSE,179h 35' 22'',+ 02h 25' 19'',1931,5091,24,646522,8719
HERMANN BUSE,ALLEMAGNE,179h 38' 25'',+ 02h 28' 22'',1931,5091,24,646705,8902
ALFRED SIEGEL,ALLEMAGNE,179h 46' 09'',+ 02h 36' 06'',1931,5091,24,647169,9366
MARIUS GUIRAMAND,INCONNUE,180h 15' 42'',+ 03h 05' 39'',1931,5091,24,648942,11139
MICHELE ORECCHIA,ITALIE,180h 19' 29'',+ 03h 09' 26'',1931,5091,24,649169,11366
ANDRÉ VAN VIERST,INCONNUE,180h 43' 47'',+ 03h 33' 44'',1931,5091,24,650627,12824
JOSEPH MAUCLAIR,FRANCE,180h 51' 25'',+ 03h 41' 22'',1931,5091,24,651085,13282
LOUIS BAJARD,INCONNUE,181h 16' 05'',+ 04h 06' 02'',1931,5091,24,652565,14762
FERNAND FAYOLLE,INCONNUE,181h 31' 01'',+ 04h 20' 58'',1931,5091,24,653461,15658
FABIO BATTESINI,ITALIE,181h 49' 46'',+ 04h 39' 43'',1931,5091,24,654586,16783
LAZARE VENOT,INCONNUE,181h 52' 07'',+ 04h 42' 04'',1931,5091,24,654727,16924
JEAN MARECHAL,FRANCE,181h 53' 18'',+ 04h 43' 15'',1931,5091,24,654798,16995
JULES GOETHUYS,INCONNUE,181h 57' 12'',+ 04h 47' 09'',1931,5091,24,655032,17229
FRANÇOIS HENRI,INCONNUE,182h 23' 03'',+ 05h 13' 00'',1931,5091,24,656583,18780
RICHARD LAMB,AUSTRALIE/SUISSE,183h 37' 09'',+ 06h 27' 06'',1931,5091,24,661029,23226
ANDRÉ LEDUCQ,FRANCE,154h 11' 49'',-,1932,4479,21,555109,0
KURT STOEPEL,ALLEMAGNE-AUTRICHE,154h 35' 52'',+ 00h 24' 03'',1932,4479,21,556552,1443
FRANCESCO CAMUSSO,ITALIE,154h 38' 10'',+ 00h 26' 21'',1932,4479,21,556690,1581
ANTONIO PESENTI,ITALIE,154h 48' 57'',+ 00h 37' 08'',1932,4479,21,557337,2228
GEORGES RONSSE,BELGIQUE,154h 52' 53'',+ 00h 41' 04'',1932,4479,21,557573,2464
FRANS BONDUEL,BELGIQUE,154h 57' 02'',+ 00h 45' 13'',1932,4479,21,557822,2713
OSKAR THIERBACH,ALLEMAGNE-AUTRICHE,155h 10' 33'',+ 00h 58' 44'',1932,4479,21,558633,3524
JEF DEMUYSERE,BELGIQUE,155h 15' 13'',+ 01h 03' 24'',1932,4479,21,558913,3804
LUIGI BARRAL,TOURISTES-ROUTIERS,155h 18' 46'',+ 01h 06' 57'',1932,4479,21,559126,4017
GEORGES SPEICHER,FRANCE,155h 20' 26'',+ 01h 08' 37'',1932,4479,21,559226,4117
ALBERT BÜCHI,SUISSE,155h 25' 22'',+ 01h 13' 33'',1932,4479,21,559522,4413
BENOÎT FAURE,TOURISTES-ROUTIERS,155h 26' 01'',+ 01h 14' 12'',1932,4479,21,559561,4452
JEAN AERTS,BELGIQUE,155h 28' 13'',+ 01h 16' 24'',1932,4479,21,559693,4584
MICHELE ORECCHIA,ITALIE,155h 30' 34'',+ 01h 18' 45'',1932,4479,21,559834,4725
GEORGES LEMAIRE,BELGIQUE,155h 31' 07'',+ 01h 19' 18'',1932,4479,21,559867,4758
MAURICE ARCHAMBAUD,FRANCE,155h 37' 16'',+ 01h 25' 27'',1932,4479,21,560236,5127
JEAN WAUTERS,TOURISTES-ROUTIERS,155h 41' 10'',+ 01h 29' 21'',1932,4479,21,560470,5361
RENÉ BERNARD,TOURISTES-ROUTIERS,155h 47' 17'',+ 01h 35' 28'',1932,4479,21,560837,5728
MAX BULLA,ALLEMAGNE-AUTRICHE,155h 50' 12'',+ 01h 38' 23'',1932,4479,21,561012,5903
