index Year TotalTDFDistance Stages Start End "Winner of stage" Leader "Yellow Jersey" "Polka-dot jersey" "Green jersey" "White jersey"
327 1929 5286 1 Paris Caen "Aimé Dossche  (As)" NA "Aimé Dossche" NA NA NA
328 1929 5286 2 Caen Cherbourg-en-Cotentin "André Leducq  (As)" NA "Aimé Dossche" NA NA NA
329 1929 5286 3 Cherbourg-en-Cotentin Dinan "Omer Taverne  (Touristes-Routiers)" NA "Aimé Dossche" NA NA NA
330 1929 5286 4 Dinan Brest "Louis De Lannoy  (As)" NA "Maurice De Waele" NA NA NA
331 1929 5286 5 Brest Vannes "Gustaaf Van Slembrouck  (As)" NA "Maurice De Waele" NA NA NA
332 1929 5286 6 Vannes "Les Sables" "Paul Le Drogo  (As)" NA "Maurice De Waele" NA NA NA
333 1929 5286 7 "Les Sables" Bordeaux "Nicolas Frantz  (As)" NA "Nicolas Frantz" NA NA NA
334 1929 5286 8 Bordeaux Bayonne "Julien Moineau  (As)" NA "Aimé Dossche" NA NA NA
335 1929 5286 9 Bayonne Luchon "Salvador Cardona Balbastre  (As)" NA "Victor Fontan" NA NA NA
336 1929 5286 10 Luchon Perpignan "Jef Demuysere  (As)" NA "Maurice De Waele" NA NA NA
337 1929 5286 11 Perpignan Marseille "André Leducq  (As)" NA "Maurice De Waele" NA NA NA
338 1929 5286 12 Marseille Cannes "Marcel Bidot  (As)" NA "Maurice De Waele" NA NA NA
339 1929 5286 13 Cannes Nice "Benoît Faure  (Touristes-Routiers)" NA "Maurice De Waele" NA NA NA
340 1929 5286 14 Nice Grenoble "Gaston Rebry  (As)" NA "Maurice De Waele" NA NA NA
341 1929 5286 15 Grenoble Evian-les-Bains "Julien Vervaecke  (As)" NA "Maurice De Waele" NA NA NA
342 1929 5286 16 Evian-les-Bains Belfort "Charles Pelissier  (As)" NA "Maurice De Waele" NA NA NA
343 1929 5286 17 Belfort Strasbourg "André Leducq  (As)" NA "Maurice De Waele" NA NA NA
344 1929 5286 18 Strasbourg Metz "André Leducq  (As)" NA "Maurice De Waele" NA NA NA
345 1929 5286 19 Metz Charleville-Mézières "Bernard Van Rysselberghe  (As)" NA "Maurice De Waele" NA NA NA
346 1929 5286 20 Charleville-Mézières Malo "Maurice De Waele  (As)" NA "Maurice De Waele" NA NA NA
347 1929 5286 21 Malo Dieppe "André Leducq  (As)" NA "Maurice De Waele" NA NA NA
348 1929 5286 22 Dieppe Paris "Nicolas Frantz  (As)" NA "Maurice De Waele" NA NA NA
349 1930 4822 1 Paris Caen "Charles Pelissier  (France)" NA "Charles Pelissier" NA NA NA
350 1930 4822 2 Caen Dinan "Learco Guerra  (Italie)" NA "Learco Guerra" NA NA NA
351 1930 4822 3 Dinan Brest "Charles Pelissier  (France)" NA "Learco Guerra" NA NA NA
352 1930 4822 4 Brest Vannes "Omer Taverne  (Belgique)" NA "Learco Guerra" NA NA NA
353 1930 4822 5 Vannes "Les Sables" "André Leducq  (France)" NA "Learco Guerra" NA NA NA
354 1930 4822 6 "Les Sables" Bordeaux "Jean Aerts  (Belgique)" NA "Learco Guerra" NA NA NA
355 1930 4822 7 Bordeaux Hendaye "Jules Merviel  (France)" NA "Learco Guerra" NA NA NA
356 1930 4822 8 Hendaye Pau "Alfredo Binda  (Italie)" NA "Learco Guerra" NA NA NA
357 1930 4822 9 Pau Luchon "Alfredo Binda  (Italie)" NA "André Leducq" NA NA NA
358 1930 4822 10 Luchon Perpignan "Charles Pelissier  (France)" NA "André Leducq" NA NA NA
359 1930 4822 11 Perpignan Montpellier "Charles Pelissier  (France)" NA "André Leducq" NA NA NA
360 1930 4822 12 Montpellier Marseille "Antonin Magne  (France)" NA "André Leducq" NA NA NA
361 1930 4822 13 Marseille Cannes "Learco Guerra  (Italie)" NA "André Leducq" NA NA NA
362 1930 4822 14 Cannes Nice "Louis Peglion  (Touristes-Routiers)" NA "André Leducq" NA NA NA
363 1930 4822 15 Nice Grenoble "Learco Guerra  (Italie)" NA "André Leducq" NA NA NA
364 1930 4822 16 Grenoble Evian-les-Bains "André Leducq  (France)" NA "André Leducq" NA NA NA
365 1930 4822 17 Evian-les-Bains Belfort "Frans Bonduel  (Belgique)" NA "André Leducq" NA NA NA
366 1930 4822 18 Belfort Metz "Charles Pelissier  (France)" NA "André Leducq" NA NA NA
367 1930 4822 19 Metz Charleville-Mézières "Charles Pelissier  (France)" NA "André Leducq" NA NA NA
368 1930 4822 20 Charleville-Mézières Malo "Charles Pelissier  (France)" NA "André Leducq" NA NA NA
369 1930 4822 21 Malo Paris "Charles Pelissier  (France)" NA "André Leducq" NA NA NA
370 1931 5091 1 Paris Caen "Alfred Haemerlinck  (Belgique)" NA "Alfred Haemerlinck" NA NA NA
371 1931 5091 2 Caen Dinan "Max Bulla  (Inconnue)" NA "Max Bulla" NA NA NA
372 1931 5091 3 Dinan Brest "Fabio Battesini  (Italie)" NA "Léon Le Calvez" NA NA NA
373 1931 5091 4 Brest Vannes "André Godinat  (Inconnue)" NA "Rafaële Di Paco" NA NA NA
374 1931 5091 5 Vannes "Les Sables" "Charles Pelissier  (France)" NA "Charles Pelissier" NA NA NA
375 1931 5091 6 "Les Sables" Bordeaux "Alfred Haemerlinck  (Belgique)" NA "Rafaële Di Paco" NA NA NA
376 1931 5091 7 Bordeaux Bayonne "Gérard Loncke  (Inconnue)" NA "Rafaële Di Paco" NA NA NA
377 1931 5091 8 Bayonne Pau "Charles Pelissier  (France)" NA "Charles Pelissier" NA NA NA
